name,start,end,n,sample,approve,disapprove,spread
Gallup,2017-08-01 00:00:00,2017-08-03 00:00:00,1500,A,36,58,-22
Rasmussen Reports,2017-08-01 00:00:00,2017-08-03 00:00:00,1500,LV,39,59,-20
Economist/YouGov,2017-07-31 00:00:00,2017-08-01 00:00:00,1329,RV,39,55,-16
Reuters/Ipsos,2017-07-28 00:00:00,2017-08-01 00:00:00,3130,A,37,59,-22
Quinnipiac,2017-07-27 00:00:00,2017-08-01 00:00:00,1125,RV,33,61,-28
Economist/YouGov,2017-07-23 00:00:00,2017-07-25 00:00:00,1282,RV,41,54,-13
Reuters/Ipsos,2017-07-21 00:00:00,2017-07-25 00:00:00,1532,A,35,59,-24
FOX News,2017-07-16 00:00:00,2017-07-18 00:00:00,1020,RV,41,53,-12
Economist/YouGov,2017-07-15 00:00:00,2017-07-18 00:00:00,1273,RV,39,56,-17
Reuters/Ipsos,2017-07-14 00:00:00,2017-07-18 00:00:00,1470,A,38,58,-20
PPP (D),2017-07-14 00:00:00,2017-07-17 00:00:00,836,RV,41,55,-14
Monmouth,2017-07-13 00:00:00,2017-07-16 00:00:00,713,RV,40,52,-12
ABC News/Wash Post,2017-07-10 00:00:00,2017-07-13 00:00:00,,,,,
Bloomberg,2017-07-08 00:00:00,2017-07-12 00:00:00,1001,A,40,56,-16
Economist/YouGov,2017-07-09 00:00:00,2017-07-11 00:00:00,1284,RV,41,52,-11
Reuters/Ipsos,2017-07-07 00:00:00,2017-07-11 00:00:00,1530,A,40,56,-16
Economist/YouGov,2017-07-03 00:00:00,2017-07-04 00:00:00,1323,RV,41,53,-12
Reuters/Ipsos,2017-06-30 00:00:00,2017-07-04 00:00:00,1600,A,38,57,-19
IBD/TIPP,2017-06-23 00:00:00,2017-06-29 00:00:00,900,A,37,58,-21
FOX News,2017-06-25 00:00:00,2017-06-27 00:00:00,1017,RV,44,50,-6
Economist/YouGov,2017-06-25 00:00:00,2017-06-27 00:00:00,1295,RV,42,53,-11
USA Today/Suffolk,2017-06-24 00:00:00,2017-06-27 00:00:00,1000,RV,42,53,-11
Reuters/Ipsos,2017-06-23 00:00:00,2017-06-27 00:00:00,1620,A,35,58,-23
Quinnipiac,2017-06-22 00:00:00,2017-06-27 00:00:00,1212,RV,40,55,-15
NPR/PBS/Marist,2017-06-21 00:00:00,2017-06-25 00:00:00,995,RV,38,53,-15
Economist/YouGov,2017-06-18 00:00:00,2017-06-20 00:00:00,1277,RV,43,51,-8
NBC News/Wall St. Jrnl,2017-06-17 00:00:00,2017-06-20 00:00:00,900,A,40,55,-15
Reuters/Ipsos,2017-06-16 00:00:00,2017-06-20 00:00:00,1554,A,38,59,-21
CBS News,2017-06-15 00:00:00,2017-06-18 00:00:00,1117,A,36,57,-21
Pew Research,2017-06-08 00:00:00,2017-06-18 00:00:00,2097,RV,42,54,-12
Gallup,2017-06-11 00:00:00,2017-06-13 00:00:00,1500,A,36,59,-23
Rasmussen Reports,2017-06-11 00:00:00,2017-06-13 00:00:00,1500,LV,45,55,-10
Economist/YouGov,2017-06-11 00:00:00,2017-06-13 00:00:00,1310,RV,42,51,-9
Reuters/Ipsos,2017-06-09 00:00:00,2017-06-13 00:00:00,1492,A,40,56,-16
CNBC,2017-06-09 00:00:00,2017-06-12 00:00:00,800,A,37,51,-14
PPP (D),2017-06-09 00:00:00,2017-06-11 00:00:00,811,RV,41,52,-11
Rasmussen Reports,2017-06-04 00:00:00,2017-06-06 00:00:00,1500,LV,45,55,-10
Economist/YouGov,2017-06-04 00:00:00,2017-06-06 00:00:00,1288,RV,40,56,-16
Reuters/Ipsos,2017-06-02 00:00:00,2017-06-06 00:00:00,2371,A,38,58,-20
Quinnipiac,2017-05-31 00:00:00,2017-06-06 00:00:00,1361,RV,34,57,-23
IBD/TIPP,2017-05-30 00:00:00,2017-06-06 00:00:00,903,A,37,55,-18
Rasmussen Reports,2017-05-28 00:00:00,2017-05-30 00:00:00,1500,LV,43,57,-14
Economist/YouGov,2017-05-27 00:00:00,2017-05-30 00:00:00,1269,RV,40,53,-13
Reuters/Ipsos,2017-05-26 00:00:00,2017-05-30 00:00:00,2081,A,40,55,-15
FOX News,2017-05-21 00:00:00,2017-05-23 00:00:00,1011,RV,40,53,-13
Gallup,2017-05-21 00:00:00,2017-05-23 00:00:00,1500,A,39,55,-16
Rasmussen Reports,2017-05-21 00:00:00,2017-05-23 00:00:00,1500,LV,48,52,-4
Economist/YouGov,2017-05-20 00:00:00,2017-05-23 00:00:00,1276,RV,40,53,-13
Reuters/Ipsos,2017-05-19 00:00:00,2017-05-23 00:00:00,2000,A,37,57,-20
Quinnipiac,2017-05-17 00:00:00,2017-05-23 00:00:00,1404,RV,37,55,-18
Monmouth,2017-05-13 00:00:00,2017-05-17 00:00:00,896,RV,39,54,-15
Gallup,2017-05-14 00:00:00,2017-05-16 00:00:00,1500,A,38,57,-19
Rasmussen Reports,2017-05-14 00:00:00,2017-05-16 00:00:00,1500,LV,44,56,-12
Economist/YouGov,2017-05-13 00:00:00,2017-05-16 00:00:00,1298,RV,39,54,-15
Reuters/Ipsos,2017-05-12 00:00:00,2017-05-16 00:00:00,1868,A,39,55,-16
PPP (D),2017-05-12 00:00:00,2017-05-14 00:00:00,692,RV,40,54,-14
NBC News/Wall St. Jrnl,2017-05-11 00:00:00,2017-05-13 00:00:00,800,A,39,54,-15
Gallup,2017-05-07 00:00:00,2017-05-09 00:00:00,1500,A,40,53,-13
Rasmussen Reports,2017-05-07 00:00:00,2017-05-09 00:00:00,1500,LV,47,53,-6
Economist/YouGov,2017-05-06 00:00:00,2017-05-09 00:00:00,1287,RV,43,52,-9
Reuters/Ipsos,2017-05-05 00:00:00,2017-05-09 00:00:00,1830,A,43,52,-9
Quinnipiac,2017-05-04 00:00:00,2017-05-09 00:00:00,1078,RV,36,58,-22
Gallup,2017-04-30 00:00:00,2017-05-02 00:00:00,1500,A,42,52,-10
Rasmussen Reports,2017-04-30 00:00:00,2017-05-02 00:00:00,1500,LV,49,51,-2
IBD/TIPP,2017-04-28 00:00:00,2017-05-04 00:00:00,904,A,39,54,-15
Economist/YouGov,2017-04-29 00:00:00,2017-05-02 00:00:00,1255,RV,46,47,-1
Reuters/Ipsos,2017-04-28 00:00:00,2017-05-02 00:00:00,2214,A,44,51,-7
FOX News,2017-04-23 00:00:00,2017-04-25 00:00:00,1009,RV,45,48,-3
Economist/YouGov,2017-04-23 00:00:00,2017-04-25 00:00:00,1295,RV,45,49,-4
Gallup,2017-04-23 00:00:00,2017-04-25 00:00:00,1500,A,39,56,-17
Rasmussen Reports,2017-04-23 00:00:00,2017-04-25 00:00:00,1500,LV,46,54,-8
CBS News,2017-04-21 00:00:00,2017-04-24 00:00:00,1214,A,41,53,-12
Reuters/Ipsos,2017-04-21 00:00:00,2017-04-25 00:00:00,2165,A,41,53,-12
CNN/ORC,2017-04-22 00:00:00,2017-04-25 00:00:00,1009,A,44,54,-10
ABC News/Wash Post,2017-04-17 00:00:00,2017-04-20 00:00:00,1004,A,42,53,-11
NBC News/Wall St. Jrnl,2017-04-17 00:00:00,2017-04-20 00:00:00,900,A,40,54,-14
PPP (D),2017-04-17 00:00:00,2017-04-18 00:00:00,648,RV,43,50,-7
Rasmussen Reports,2017-04-16 00:00:00,2017-04-18 00:00:00,1500,LV,48,52,-4
Gallup,2017-04-15 00:00:00,2017-04-18 00:00:00,1500,A,42,52,-10
Economist/YouGov,2017-04-15 00:00:00,2017-04-18 00:00:00,1291,RV,44,50,-6
Quinnipiac,2017-04-12 00:00:00,2017-04-18 00:00:00,1062,RV,40,56,-16
Reuters/Ipsos,2017-04-13 00:00:00,2017-04-17 00:00:00,1843,A,43,52,-9
Marist,2017-04-11 00:00:00,2017-04-12 00:00:00,869,RV,39,49,-10
Economist/YouGov,2017-04-10 00:00:00,2017-04-11 00:00:00,1330,RV,43,52,-9
Gallup,2017-04-09 00:00:00,2017-04-11 00:00:00,1500,A,41,52,-11
Rasmussen Reports,2017-04-09 00:00:00,2017-04-11 00:00:00,1500,LV,47,53,-6
CBS News,2017-04-07 00:00:00,2017-04-09 00:00:00,1006,A,43,49,-6
Pew Research,2017-04-05 00:00:00,2017-04-11 00:00:00,1243,RV,42,52,-10
CNBC,2017-04-03 00:00:00,2017-04-06 00:00:00,804,A,39,48,-9
Gallup,2017-04-02 00:00:00,2017-04-04 00:00:00,1500,A,42,52,-10
Rasmussen Reports,2017-04-02 00:00:00,2017-04-04 00:00:00,1500,LV,46,54,-8
Economist/YouGov,2017-04-02 00:00:00,2017-04-04 00:00:00,1331,RV,43,50,-7
Reuters/Ipsos,2017-03-31 00:00:00,2017-04-04 00:00:00,2149,A,46,50,-4
Quinnipiac,2017-03-30 00:00:00,2017-04-03 00:00:00,1171,RV,35,57,-22
PPP (D),2017-03-27 00:00:00,2017-03-28 00:00:00,677,RV,40,53,-13
IBD/TIPP,2017-03-24 00:00:00,2017-03-30 00:00:00,904,A,34,56,-22
Gallup,2017-03-26 00:00:00,2017-03-28 00:00:00,1500,A,35,59,-24
Rasmussen Reports,2017-03-26 00:00:00,2017-03-28 00:00:00,1500,LV,44,56,-12
Economist/YouGov,2017-03-26 00:00:00,2017-03-28 00:00:00,1271,RV,45,50,-5
CBS News,2017-03-25 00:00:00,2017-03-28 00:00:00,1088,A,40,52,-12
Reuters/Ipsos,2017-03-24 00:00:00,2017-03-28 00:00:00,1646,A,44,49,-5
McClatchy/Marist,2017-03-22 00:00:00,2017-03-27 00:00:00,906,RV,38,51,-13
Gallup,2017-03-19 00:00:00,2017-03-21 00:00:00,1500,A,40,55,-15
Rasmussen Reports,2017-03-19 00:00:00,2017-03-21 00:00:00,1500,LV,46,54,-8
Economist/YouGov,2017-03-19 00:00:00,2017-03-21 00:00:00,1296,RV,44,49,-5
Reuters/Ipsos,2017-03-17 00:00:00,2017-03-21 00:00:00,1606,A,47,47,0
Quinnipiac,2017-03-16 00:00:00,2017-03-21 00:00:00,1056,RV,37,56,-19
Economist/YouGov,2017-03-13 00:00:00,2017-03-14 00:00:00,1320,RV,44,49,-5
FOX News,2017-03-12 00:00:00,2017-03-14 00:00:00,1008,RV,43,51,-8
Gallup,2017-03-12 00:00:00,2017-03-14 00:00:00,1500,A,40,54,-14
Rasmussen Reports,2017-03-12 00:00:00,2017-03-14 00:00:00,1500,LV,45,54,-9
Reuters/Ipsos,2017-03-10 00:00:00,2017-03-14 00:00:00,1750,A,45,49,-4
PPP (D),2017-03-10 00:00:00,2017-03-12 00:00:00,808,RV,43,50,-7
Economist/YouGov,2017-03-06 00:00:00,2017-03-07 00:00:00,1359,RV,44,50,-6
Gallup,2017-03-05 00:00:00,2017-03-07 00:00:00,1500,A,42,53,-11
Rasmussen Reports,2017-03-05 00:00:00,2017-03-07 00:00:00,1500,LV,49,51,-2
Reuters/Ipsos,2017-03-03 00:00:00,2017-03-07 00:00:00,1662,A,48,46,0
Quinnipiac,2017-03-02 00:00:00,2017-03-06 00:00:00,1283,RV,41,52,-11
Monmouth,2017-03-02 00:00:00,2017-03-05 00:00:00,722,RV,44,46,-2
USA Today/Suffolk,2017-03-01 00:00:00,2017-03-05 00:00:00,1000,RV,47,44,0
CNN/ORC,2017-03-01 00:00:00,2017-03-04 00:00:00,1025,A,45,52,-7
Economist/YouGov,2017-02-25 00:00:00,2017-03-01 00:00:00,1251,RV,45,51,-6
IBD/TIPP,2017-02-24 00:00:00,2017-03-04 00:00:00,909,A,41,53,-12
Gallup,2017-02-26 00:00:00,2017-02-28 00:00:00,1500,A,43,52,-9
Rasmussen Reports,2017-02-26 00:00:00,2017-02-28 00:00:00,1500,LV,50,50,0
Reuters/Ipsos,2017-02-24 00:00:00,2017-02-28 00:00:00,1847,A,46,48,-2
PPP (D),2017-02-21 00:00:00,2017-02-22 00:00:00,941,RV,45,48,-3
NBC News/Wall St. Jrnl,2017-02-18 00:00:00,2017-02-22 00:00:00,1000,A,44,48,-4
CBS News,2017-02-17 00:00:00,2017-02-21 00:00:00,1280,A,39,51,-12
Gallup,2017-02-19 00:00:00,2017-02-21 00:00:00,1500,A,42,52,-10
Rasmussen Reports,2017-02-19 00:00:00,2017-02-21 00:00:00,1500,LV,51,49,0
Reuters/Ipsos,2017-02-17 00:00:00,2017-02-21 00:00:00,2338,A,45,50,-5
Economist/YouGov,2017-02-18 00:00:00,2017-02-20 00:00:00,1198,RV,48,48,0
Quinnipiac,2017-02-16 00:00:00,2017-02-21 00:00:00,1323,RV,38,55,-17
McClatchy/Marist,2017-02-15 00:00:00,2017-02-19 00:00:00,865,RV,41,49,-8
Gallup,2017-02-12 00:00:00,2017-02-14 00:00:00,1500,A,40,53,-13
Economist/YouGov,2017-02-12 00:00:00,2017-02-14 00:00:00,1100,RV,46,49,-3
Rasmussen Reports,2017-02-12 00:00:00,2017-02-14 00:00:00,1500,LV,53,47,0
FOX News,2017-02-11 00:00:00,2017-02-13 00:00:00,1013,RV,48,47,0
Reuters/Ipsos,2017-02-10 00:00:00,2017-02-14 00:00:00,1774,A,46,50,-4
Pew Research,2017-02-07 00:00:00,2017-02-12 00:00:00,1246,RV,42,54,-12
PPP (D),2017-02-07 00:00:00,2017-02-08 00:00:00,712,RV,43,53,-10
Economist/YouGov,2017-02-05 00:00:00,2017-02-07 00:00:00,1315,RV,44,49,-5
Gallup,2017-02-05 00:00:00,2017-02-07 00:00:00,1500,A,43,52,-9
Emerson,2017-02-05 00:00:00,2017-02-06 00:00:00,617,RV,48,47,0
Rasmussen Reports,2017-02-05 00:00:00,2017-02-07 00:00:00,1500,LV,53,47,0
Reuters/Ipsos,2017-02-03 00:00:00,2017-02-07 00:00:00,1896,A,48,47,0
Quinnipiac,2017-02-02 00:00:00,2017-02-06 00:00:00,1155,RV,42,51,-9
CBS News,2017-02-01 00:00:00,2017-02-02 00:00:00,1019,A,40,48,-8
CNN/ORC,2017-01-31 00:00:00,2017-02-02 00:00:00,1002,A,44,53,-9
IBD/TIPP,2017-01-27 00:00:00,2017-02-02 00:00:00,885,A,42,48,-6
PPP (D),2017-01-30 00:00:00,2017-01-31 00:00:00,725,RV,47,49,-2
Gallup,2017-01-29 00:00:00,2017-01-31 00:00:00,1500,A,43,52,-9
Rasmussen Reports,2017-01-29 00:00:00,2017-01-31 00:00:00,1500,LV,53,47,0
Economist/YouGov,2017-01-28 00:00:00,2017-01-31 00:00:00,1278,RV,47,45,0
Reuters/Ipsos,2017-01-27 00:00:00,2017-01-31 00:00:00,3151,A,46,47,-1
Economist/YouGov,2017-01-23 00:00:00,2017-01-25 00:00:00,2312,RV,43,39,0
PPP (D),2017-01-23 00:00:00,2017-01-24 00:00:00,1043,RV,44,44,0
Quinnipiac,2017-01-20 00:00:00,2017-01-25 00:00:00,1190,RV,36,44,-8
Gallup,2017-01-22 00:00:00,2017-01-24 00:00:00,1500,A,46,45,0
Rasmussen Reports,2017-01-22 00:00:00,2017-01-24 00:00:00,1500,LV,57,43,0
Reuters/Ipsos,2017-01-20 00:00:00,2017-01-24 00:00:00,1633,A,43,45,-2
